,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,51,1,1109,7,4,8008,8200,5,0,6,13.20,11,158,8.5,44,3006,3031,3086,1042,1055,0
1,81,1,1235,7,4,8010,8300,8,3,2,3.33,11,140,6.8,37,3158,3042,3025,3133,3123,1029
2,81,1,1637,7,4,8010,8300,7,0,5,14.40,14,218,8.0,50,3158,3042,3025,3133,3105,1055
3,81,1,1546,7,4,8010,8300,6,0,5,13.20,13,205,8.0,50,3158,3042,3025,3133,3105,1053
4,22,0,1922,7,4,8008,8300,4,4,13,4.25,14,166,5.2,61,0,3157,0,0,0,0
5,51,0,1245,7,4,8008,8200,2,5,8,2.00,10,137,6.6,67,3006,3031,3086,1055,0,0
6,51,1,2030,7,4,8008,8200,6,3,11,5.67,15,171,5.1,40,3006,3031,3140,3094,3095,1042
7,51,0,2365,7,4,8008,8200,1,11,10,1.00,15,187,4.7,33,3006,3031,0,3094,3095,0
8,81,1,1887,1,4,8010,8300,5,5,8,2.60,15,202,6.4,32,3158,3042,3025,3812,0,0
9,22,0,1964,7,4,8008,8300,0,5,4,0.80,14,206,6.3,17,3006,3153,2055,3085,1037,1055
10,110,0,1332,7,4,8008,8200,5,2,5,5.00,11,148,6.7,48,3006,3153,2031,1055,1043,1037
11,51,1,1717,7,4,8008,8200,7,3,10,5.67,14,218,7.6,47,3006,3031,3094,1038,1018,2015
12,51,0,914,1,4,8021,8200,0,2,1,0.50,8,102,6.7,20,3006,2031,0,1038,1042,1055
13,51,0,1950,1,4,8008,8200,3,3,6,3.00,14,199,6.1,43,3006,3031,3140,3094,1038,1042
14,22,0,921,1,4,8008,8300,3,2,1,2.00,8,82,5.3,36,3006,3144,1043,1055,2055,0
15,51,1,912,7,4,8008,8200,2,1,4,6.00,9,113,7.4,29,3006,3031,1055,0,0,0
16,22,1,1595,7,4,8008,8300,7,7,11,2.57,13,140,5.3,44,3006,3153,2055,3085,1038,1055
17,51,1,1112,1,4,8008,8200,4,1,4,8.00,10,150,8.1,42,3006,3031,2055,3094,1055,0
18,51,1,1886,7,4,8008,8200,4,4,15,4.75,14,174,5.5,46,3006,3031,2421,3094,2015,1018
19,51,1,2205,7,4,8008,8200,16,2,6,11.00,17,298,8.1,69,3006,3031,3094,3095,3072,3033
20,51,1,1511,7,4,8008,8200,4,4,6,2.50,13,169,6.7,33,3006,3031,3140,3094,0,0
21,81,0,950,7,4,8008,8300,0,1,0,0.00,9,136,8.6,0,1001,3004,2031,1027,3057,1055
22,81,0,1471,7,4,8010,8300,2,5,1,0.60,12,156,6.4,30,3158,3042,3025,1036,1036,1055
23,22,0,1153,1,4,8008,8200,1,2,5,3.00,10,141,7.3,55,3006,3153,0,1042,1042,1055
24,22,1,2235,7,4,8008,8200,8,7,16,3.43,17,181,4.9,56,3006,3153,3140,3085,3031,1036
25,21,0,2396,7,4,8005,8200,10,4,14,6.00,18,244,6.1,67,3006,3508,3140,3031,3094,3123
26,22,1,1652,7,4,8008,8200,3,3,13,5.33,14,179,6.5,44,3006,3153,0,3085,3105,1055
27,22,1,1892,1,4,8008,8200,11,4,11,5.50,16,205,6.5,52,3006,3153,3085,3812,1038,3123
28,21,1,2412,7,4,8005,8200,10,5,12,4.40,18,266,6.6,55,3006,3508,3140,3031,3094,1038
29,498,0,1799,7,4,8008,8200,7,6,7,2.33,14,180,6.0,58,3006,3508,2055,3031,3046,3123
30,81,0,1253,7,4,8010,8300,3,7,5,1.14,11,121,5.8,47,3158,3004,2055,3025,1036,1055
31,81,0,1245,7,4,8010,8300,3,4,0,0.75,10,116,5.6,27,3158,3042,2055,3057,3024,1055
32,81,0,2227,7,4,8010,8300,7,8,9,2.00,16,253,6.8,55,3158,3042,3140,3026,3025,3812
33,21,0,1462,7,4,8005,8200,6,5,3,1.80,12,175,7.2,64,3006,3508,3031,3123,1036,1036
34,21,1,970,7,4,8005,8200,4,0,4,9.60,9,128,7.9,36,1001,3508,1038,1042,1055,1055
35,21,1,1439,7,4,8005,8200,10,1,7,17.00,13,190,7.9,61,3006,3508,3031,3086,1042,1055
36,81,1,2416,7,4,8010,8300,17,6,14,5.17,18,224,5.6,61,3158,3153,3042,3812,3078,3026
37,498,0,1608,7,4,8008,8200,2,3,10,4.00,12,121,4.5,50,3006,3508,2055,1038,1037,3123
38,201,0,1315,3,4,8465,8300,0,8,5,0.62,9,19,0.9,33,3009,3855,2055,1031,1057,2424
39,81,0,1587,7,4,8010,8300,1,6,5,1.00,12,173,6.5,67,3158,3042,2055,3025,3133,1036
40,21,0,880,7,4,8005,8200,3,3,1,1.33,8,102,7.0,57,1001,3508,2055,1004,1055,0
41,81,1,1628,7,4,8010,8300,8,3,5,4.33,13,179,6.6,54,3158,3042,3078,3133,1053,3105
42,21,0,1213,7,4,8005,8200,0,5,2,0.40,10,143,7.1,29,1001,3508,2055,1018,1042,1054
43,81,1,2097,7,4,8010,8300,14,2,14,14.00,18,248,7.1,67,3158,3153,3042,3025,3812,3155
44,81,0,1639,7,4,8010,8300,8,1,7,15.00,14,174,6.4,65,3158,3153,3140,3042,3025,0
45,81,1,940,7,4,8010,8300,3,2,6,4.50,9,126,8.0,53,1001,3004,0,3057,3024,1055
46,523,0,1323,7,4,8010,8200,2,8,6,1.00,11,131,5.9,40,3006,3031,2055,1018,1054,0
47,429,0,1165,21,4,9923,8000,2,6,2,0.67,10,121,6.2,24,3006,3153,2055,1042,1042,1055
