,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,제이스,승리,20분 53초,점화,점멸,감전,영감,8/1/8,16.00,13,131,6.3,48%,요우무의 유령검,충전형 물약,톱날 단검,도란의 검,그림자 검,명석함의 아이오니아 장화
1,뽀삐,승리,40분 59초,순간이동,점멸,착취의 손아귀,영감,5/9/17,2.44,18,177,4.3,39%,얼어붙은 건틀릿,태양불꽃 망토,가고일의 돌갑옷,덤불 조끼,정령의 형상,닌자의 신발
2,케일,패배,23분 31초,순간이동,점멸,집중 공격,결의,0/8/3,0.38,13,146,6.2,21%,증폭의 고서,핏빛 칼날,곡괭이,곡궁,-,닌자의 신발
3,케일,승리,31분 51초,순간이동,점멸,집중 공격,결의,9/3/4,4.33,17,211,6.6,43%,핏빛 칼날,구인수의 격노검,망가진 초시계,추적자의 팔목 보호대,내셔의 이빨,닌자의 신발
4,아리,패배,33분 24초,점화,점멸,빙결 강화,지배,6/11/2,0.73,15,132,4.0,50%,쌍둥이 그림자,마법공학 GLP-800,존야의 모래시계,-,-,마법사의 신발
5,제라스,승리,15분 19초,방어막,점멸,신비로운 유성,영감,5/0/5,Perfect,11,97,6.3,43%,-,루덴의 메아리,망가진 초시계,-,-,마법사의 신발
6,루시안,패배,20분 51초,순간이동,점멸,집중 공격,영감,1/9/2,0.33,11,104,5.0,16%,핏빛 칼날,처형인의 대검,-,-,-,닌자의 신발
7,사미라,패배,26분 18초,회복,점멸,정복자,지배,3/8/3,0.75,12,130,4.9,29%,정수 약탈자,흡혈의 낫,처형인의 대검,B.F. 대검,롱소드,헤르메스의 발걸음
8,루시안,승리,28분 33초,순간이동,점멸,집중 공격,영감,6/1/4,10.00,17,206,7.2,32%,정수 약탈자,핏빛 칼날,죽음의 무도,처형인의 대검,-,닌자의 신발
9,사미라,패배,27분 12초,회복,점멸,정복자,지배,4/6/4,1.33,14,152,5.6,33%,도란의 검,정수 약탈자,군단의 방패,처형인의 대검,흡혈의 낫,닌자의 신발
10,레넥톤,패배,33분 50초,순간이동,점멸,집중 공격,결의,2/12/8,0.83,14,82,2.4,27%,칠흑의 양날 도끼,스테락의 도전,천 갑옷,천 갑옷,-,닌자의 신발
11,루시안,패배,42분 25초,순간이동,점멸,집중 공격,영감,14/10/9,2.30,18,284,6.7,55%,필멸자의 운명,핏빛 칼날,정수 약탈자,죽음의 무도,무한의 대검,닌자의 신발
12,케일,승리,40분 11초,순간이동,점멸,기민한 발놀림,영감,4/3/10,4.67,18,268,6.7,56%,구인수의 격노검,존야의 모래시계,마법공학 총검,-,내셔의 이빨,헤르메스의 발걸음
13,렝가,패배,34분 47초,순간이동,점멸,정복자,결의,7/9/10,1.89,17,195,5.6,53%,정령의 형상,칠흑의 양날 도끼,굶주린 히드라,군단의 방패,흡혈의 낫,헤르메스의 발걸음
14,레넥톤,승리,25분 17초,순간이동,점멸,집중 공격,결의,5/4/9,3.50,14,129,5.1,50%,도란의 검,칠흑의 양날 도끼,몰락한 왕의 검,군단의 방패,롱소드,닌자의 신발
15,제이스,승리,47분 37초,순간이동,점멸,정복자,영감,6/10/18,2.40,18,219,4.6,57%,맬모셔스의 아귀,초시계,요우무의 유령검,칠흑의 양날 도끼,피바라기,닌자의 신발
16,뽀삐,패배,41분 50초,순간이동,점멸,착취의 손아귀,마법,2/4/9,2.75,18,241,5.8,61%,태양불꽃 망토,란두인의 예언,가고일의 돌갑옷,정령의 형상,루비 수정,닌자의 신발
17,카직스,패배,31분 1초,강타,점멸,감전,마법,2/9/9,1.22,13,18,0.6,48%,마법 부여: 용사,드락사르의 황혼검,롱소드,롱소드,-,닌자의 신발
18,이즈리얼,패배,19분 37초,회복,점멸,정복자,영감,0/5/1,0.20,8,93,4.7,12%,마나무네,도란의 검,사파이어 수정,-,-,명석함의 아이오니아 장화
19,녹턴,패배,21분 48초,점화,점멸,치명적 속도,지배,4/7/1,0.71,10,105,4.8,28%,도란의 검,드락사르의 황혼검,티아맷,루비 수정,롱소드,헤르메스의 발걸음
