,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,케이틀린,승리,31분 26초,회복,점멸,치명적 속도,마법,4/4/15,4.75,14,174,5.5,46%,광전사의 군화,무한의 대검,망가진 초시계,고속 연사포,키르히아이스의 파편,민첩성의 망토
1,케이틀린,승리,36분 45초,회복,점멸,치명적 속도,마법,16/2/6,11.00,17,298,8.1,69%,광전사의 군화,무한의 대검,고속 연사포,폭풍갈퀴,피바라기,필멸자의 운명
2,케이틀린,승리,25분 11초,회복,점멸,치명적 속도,마법,4/4/6,2.50,13,169,6.7,33%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,-,-
3,이즈리얼,패배,15분 50초,회복,점멸,치명적 속도,영감,0/1/0,0.00,9,136,8.6,0%,속도의 장화,마나무네,충전형 물약,사파이어 수정,광휘의 검,도란의 검
4,이즈리얼,패배,24분 31초,회복,점멸,정복자,영감,2/5/1,0.60,12,156,6.4,30%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,롱소드,롱소드,도란의 검
5,애쉬,패배,19분 13초,정화,점멸,치명적 속도,마법,1/2/5,3.00,10,141,7.3,55%,광전사의 군화,몰락한 왕의 검,-,단검,단검,도란의 검
6,애쉬,승리,37분 15초,회복,점멸,치명적 속도,마법,8/7/16,3.43,17,181,4.9,56%,광전사의 군화,몰락한 왕의 검,수은 장식띠,루난의 허리케인,무한의 대검,롱소드
7,미스 포츈,패배,39분 56초,회복,점멸,집중 공격,마법,10/4/14,6.00,18,244,6.1,67%,광전사의 군화,정수 약탈자,수은 장식띠,무한의 대검,고속 연사포,처형인의 대검
8,애쉬,승리,27분 32초,회복,점멸,치명적 속도,마법,3/3/13,5.33,14,179,6.5,44%,광전사의 군화,몰락한 왕의 검,-,루난의 허리케인,군단의 방패,도란의 검
9,애쉬,승리,31분 32초,정화,점멸,치명적 속도,마법,11/4/11,5.50,16,205,6.5,52%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,죽음의 무도,B.F. 대검,처형인의 대검
10,미스 포츈,승리,40분 12초,회복,점멸,집중 공격,마법,10/5/12,4.40,18,266,6.6,55%,광전사의 군화,정수 약탈자,수은 장식띠,무한의 대검,고속 연사포,B.F. 대검
11,자야,패배,29분 59초,회복,점멸,치명적 속도,마법,7/6/7,2.33,14,180,6.0,58%,광전사의 군화,정수 약탈자,제어 와드,무한의 대검,유령 무희,처형인의 대검
12,이즈리얼,패배,20분 53초,회복,점멸,정복자,영감,3/7/5,1.14,11,121,5.8,47%,명석함의 아이오니아 장화,마나무네,제어 와드,얼어붙은 건틀릿,롱소드,도란의 검
13,이즈리얼,패배,20분 45초,회복,점멸,정복자,영감,3/4/0,0.75,10,116,5.6,27%,명석함의 아이오니아 장화,무라마나,제어 와드,광휘의 검,빙하의 장막,도란의 검
14,이즈리얼,패배,37분 7초,회복,점멸,정복자,영감,7/8/9,2.00,16,253,6.8,55%,명석함의 아이오니아 장화,무라마나,수은 장식띠,수호 천사,얼어붙은 건틀릿,죽음의 무도
15,미스 포츈,패배,24분 22초,회복,점멸,집중 공격,마법,6/5/3,1.80,12,175,7.2,64%,광전사의 군화,정수 약탈자,무한의 대검,처형인의 대검,롱소드,롱소드
16,미스 포츈,승리,16분 10초,회복,점멸,집중 공격,마법,4/0/4,9.60,9,128,7.9,36%,속도의 장화,정수 약탈자,B.F. 대검,단검,도란의 검,도란의 검
17,미스 포츈,승리,23분 59초,회복,점멸,집중 공격,마법,10/1/7,17.00,13,190,7.9,61%,광전사의 군화,정수 약탈자,무한의 대검,열정의 검,단검,도란의 검
18,이즈리얼,패배,3분 13초,회복,점멸,정복자,영감,0/0/0,0.00,1,0,0.0,0%,-,-,-,-,-,-
19,이즈리얼,승리,40분 16초,회복,점멸,정복자,영감,17/6/14,5.17,18,224,5.6,61%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,죽음의 무도,삼위일체,수호 천사
